Line Number,Company Name,Company CIK Key
1,!J INC,1438823
2,"#1 A LIFESAFER HOLDINGS, INC.",1509607
3,#1 ARIZONA DISCOUNT PROPERTIES LLC,1457512
4,#1 PAINTBALL CORP,1433777
5,$ LLC,1427189
6,& S MEDIA GROUP LLC,1447162
7,&TV COMMUNICATIONS INC.,1479357
8,"'MKTG, INC.'",886475
9,'OHANA LABS INC.,1703629
10,(OURCROWD INVESTMENT IN MST) L.P.,1599496
11,(Y.Z) QUEENCO LTD.,1623088
12,".CLUB DOMAINS, LLC",1577787
13,012 SMILE.COMMUNICATIONS LTD,1402606
14,02 MEDTECH INC,1409768
15,"0210, LLC",1494698
16,"024 PHARMA, INC.",1307969
17,02DIESEL CORP,1414080
18,03 ENTERTAINMENT GROUP INC,1322914
19,033 ASSET MANAGEMENT LLC /,1114831
20,05 AFWAIN COURITY KATHY LLC,1398981
21,05 CAT THIEF/GOLD IN MY STARS LLC,1406134
22,05 DIXIE UNION/UNDER FIRE LLC,1395687
23,05 EL CORREDOR/ONE BAD CAT LLC,1398457
24,05 FREUD/LAVISH NUMBERS LLC,1402813
25,05 GOLD CASE/JETAZELLE LLC,1398456
26,!J INC,1438823
27,"#1 A LIFESAFER HOLDINGS, INC.",1509607
28,#1 ARIZONA DISCOUNT PROPERTIES LLC,1457512
29,#1 PAINTBALL CORP,1433777
30,$ LLC,1427189
31,& S MEDIA GROUP LLC,1447162
32,&TV COMMUNICATIONS INC.,1479357
33,"'MKTG, INC.'",886475
34,'OHANA LABS INC.,1703629
35,(OURCROWD INVESTMENT IN MST) L.P.,1599496
36,(Y.Z) QUEENCO LTD.,1623088
37,".CLUB DOMAINS, LLC",1577787
38,012 SMILE.COMMUNICATIONS LTD,1402606
39,02 MEDTECH INC,1409768
40,"0210, LLC",1494698
41,"024 PHARMA, INC.",1307969
42,02DIESEL CORP,1414080
43,03 ENTERTAINMENT GROUP INC,1322914
44,033 ASSET MANAGEMENT LLC /,1114831
45,05 AFWAIN COURITY KATHY LLC,1398981
46,05 CAT THIEF/GOLD IN MY STARS LLC,1406134
47,05 DIXIE UNION/UNDER FIRE LLC,1395687
48,05 EL CORREDOR/ONE BAD CAT LLC,1398457
49,05 FREUD/LAVISH NUMBERS LLC,1402813
50,05 GOLD CASE/JETAZELLE LLC,1398456
51,!J INC,1438823
52,"#1 A LIFESAFER HOLDINGS, INC.",1509607
53,#1 ARIZONA DISCOUNT PROPERTIES LLC,1457512
54,#1 PAINTBALL CORP,1433777
55,$ LLC,1427189
56,& S MEDIA GROUP LLC,1447162
57,&TV COMMUNICATIONS INC.,1479357
58,"'MKTG, INC.'",886475
59,'OHANA LABS INC.,1703629
60,(OURCROWD INVESTMENT IN MST) L.P.,1599496
61,(Y.Z) QUEENCO LTD.,1623088
62,".CLUB DOMAINS, LLC",1577787
63,012 SMILE.COMMUNICATIONS LTD,1402606
64,02 MEDTECH INC,1409768
65,"0210, LLC",1494698
66,"024 PHARMA, INC.",1307969
67,02DIESEL CORP,1414080
68,03 ENTERTAINMENT GROUP INC,1322914
69,033 ASSET MANAGEMENT LLC /,1114831
70,05 AFWAIN COURITY KATHY LLC,1398981
71,05 CAT THIEF/GOLD IN MY STARS LLC,1406134
72,05 DIXIE UNION/UNDER FIRE LLC,1395687
73,05 EL CORREDOR/ONE BAD CAT LLC,1398457
74,05 FREUD/LAVISH NUMBERS LLC,1402813
75,05 GOLD CASE/JETAZELLE LLC,1398456
76,!J INC,1438823
77,"#1 A LIFESAFER HOLDINGS, INC.",1509607
78,#1 ARIZONA DISCOUNT PROPERTIES LLC,1457512
79,#1 PAINTBALL CORP,1433777
80,$ LLC,1427189
81,& S MEDIA GROUP LLC,1447162
82,&TV COMMUNICATIONS INC.,1479357
83,"'MKTG, INC.'",886475
84,'OHANA LABS INC.,1703629
85,(OURCROWD INVESTMENT IN MST) L.P.,1599496
86,(Y.Z) QUEENCO LTD.,1623088
87,".CLUB DOMAINS, LLC",1577787
88,012 SMILE.COMMUNICATIONS LTD,1402606
89,02 MEDTECH INC,1409768
90,"0210, LLC",1494698
91,"024 PHARMA, INC.",1307969
92,02DIESEL CORP,1414080
93,03 ENTERTAINMENT GROUP INC,1322914
94,033 ASSET MANAGEMENT LLC /,1114831
95,05 AFWAIN COURITY KATHY LLC,1398981
96,05 CAT THIEF/GOLD IN MY STARS LLC,1406134
97,05 DIXIE UNION/UNDER FIRE LLC,1395687
98,05 EL CORREDOR/ONE BAD CAT LLC,1398457
99,05 FREUD/LAVISH NUMBERS LLC,1402813
100,05 GOLD CASE/JETAZELLE LLC,1398456